Tournament,Stage,Match Type,Match Name,Map,Team,order,pistol_win_rate_last5,fullbuy_win_rate_last5,eco_win_rate_last5
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,BBL Esports vs GIANTX,Lotus,BBL Esports,0,,,
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,BBL Esports vs GIANTX,Lotus,GIANTX,0,,,
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,BBL Esports vs GIANTX,Haven,GIANTX,1,0.5,0.46153846153846156,0.3333333333333333
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,BBL Esports vs GIANTX,Haven,BBL Esports,1,0.5,0.7142857142857143,0.3333333333333333
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,BBL Esports vs GIANTX,Pearl,BBL Esports,2,0.75,0.5515873015873016,0.6666666666666666
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,BBL Esports vs GIANTX,Pearl,GIANTX,2,0.25,0.583710407239819,0.16666666666666666
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Karmine Corp vs Natus Vincere,Abyss,Natus Vincere,3,,,
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Karmine Corp vs Natus Vincere,Abyss,Karmine Corp,3,,,
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Karmine Corp vs Natus Vincere,Bind,Natus Vincere,4,0.5,0.6,0.3333333333333333
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Karmine Corp vs Natus Vincere,Bind,Karmine Corp,4,0.5,0.5454545454545454,0.3333333333333333
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Karmine Corp vs Natus Vincere,Lotus,Natus Vincere,5,0.25,0.37142857142857144,0.16666666666666666
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Karmine Corp vs Natus Vincere,Lotus,Karmine Corp,5,0.75,0.6616161616161615,0.6666666666666666
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Team Liquid vs KOI,Fracture,Team Liquid,6,,,
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Team Liquid vs KOI,Fracture,KOI,6,,,
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Team Liquid vs KOI,Abyss,KOI,7,0.5,0.625,0.5
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Team Liquid vs KOI,Abyss,Team Liquid,7,0.5,0.5384615384615384,0.3333333333333333
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Team Liquid vs KOI,Bind,Team Liquid,8,0.5,0.7237762237762237,0.3333333333333333
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Team Liquid vs KOI,Bind,KOI,8,0.5,0.3839285714285714,0.41666666666666663
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Apeks vs Gentle Mates,Pearl,Gentle Mates,9,,,
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Apeks vs Gentle Mates,Pearl,Apeks,9,,,
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Apeks vs Gentle Mates,Haven,Gentle Mates,10,1.0,0.5454545454545454,1.0
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Apeks vs Gentle Mates,Haven,Apeks,10,0.0,0.5454545454545454,0.0
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FNATIC vs BBL Esports,Abyss,BBL Esports,11,0.8333333333333334,0.5798460798460798,0.7777777777777777
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FNATIC vs BBL Esports,Abyss,FNATIC,11,,,
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FNATIC vs BBL Esports,Fracture,BBL Esports,12,0.75,0.6167027417027418,0.6666666666666666
